left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y
231.67312173604327,-387.0246844579329,241.09049311473353,-373.9045998348531,233.3350067138672,-384.7093811035156
230.37807350986665,-386.08964967207834,239.79088536775004,-372.9662935034362,232.03623962402344,-383.77783203125
229.08967665231032,-385.16013103326674,238.49748674958124,-372.03318846938043,230.74404907226562,-382.85174560546875
227.81364007106785,-384.23968571200146,237.21999091224671,-371.1116971587054,229.46484375,-381.9351806640625
226.55387366369223,-383.33111447574794,235.95873617957778,-370.20205964837714,228.201904296875,-381.0304870605469
225.31009546276965,-382.4338949952284,234.7156623580011,-369.3053447713025,226.95533752441406,-380.1374206542969
224.07991196617084,-381.5463515226821,233.48592738814412,-368.4181235241434,225.72232055664062,-379.2539978027344
222.859178248373,-380.66530879584064,232.2671062330041,-367.5384510135325,224.49900817871094,-378.37725830078125
221.64374063480216,-379.78764487659276,231.05463352058598,-366.6629125252931,223.2811737060547,-377.5040283203125
220.43075469488664,-378.91161315902747,229.8425432979912,-365.7875231147075,222.0654296875,-376.6321716308594
219.21754040995492,-378.03515653197235,228.63119228866907,-364.9124026209876,220.84962463378906,-375.760009765625
218.00042430401194,-377.162005700275,227.41442128328907,-364.03949935521865,219.632568359375,-374.88690185546875
216.78172440349985,-376.2876231289204,226.19640053343412,-363.165604028556,218.4139862060547,-374.0126037597656
215.56184238643377,-375.41253881127585,225.00462336239266,-362.2491460626493,217.1939239501953,-373.13739013671875
214.34070348259465,-374.5366327460006,223.78291584421683,-361.3728321195647,215.97268676757812,-372.26141357421875
213.11879172044425,-373.6603931136774,222.55943345700425,-360.49546604147355,214.75050354003906,-371.3849792480469
211.89606966511678,-372.78374233160287,221.3355030356215,-359.6179488174114,213.52757263183594,-370.5081787109375
210.70192850673826,-371.8663057822812,220.110485760296,-358.7398984288069,212.3040008544922,-369.63116455078125
209.47814754178592,-370.98934770166176,218.88524497230483,-357.86189412011964,211.07997131347656,-368.7540283203125
208.25400094972818,-370.1122961661154,217.6890244582256,-356.94334175304965,209.85562133789062,-367.8768310546875
207.02976557706822,-369.2352506945844,216.4642937451968,-356.0659414042651,208.6313018798828,-366.9997253417969
205.80612013243726,-368.3586679382068,215.24036316203694,-355.18915437855884,207.40760803222656,-366.12310791015625
204.58397521596675,-367.48307820252256,214.01880155324415,-354.3139825264817,206.18556213378906,-365.2475891113281
203.36496047278024,-366.60946219860506,212.80170594541895,-353.4417416736268,204.9668731689453,-364.37420654296875
202.15182114409262,-365.73973969407507,211.59084070643945,-352.573649209769,203.75411987304688,-363.5047607421875
198.55430490222676,-363.0946945258701,208.00385909923105,-349.9361626114825,200.1292266845703,-360.901611328125
197.3309477297907,-362.21468035669295,206.79102462625545,-349.06371150352277,198.90762329101562,-360.0228576660156
196.10817333307742,-361.3345967744467,205.57170570044752,-348.1861142842193,197.6854248046875,-359.1431884765625
194.8849985419609,-360.45382429884717,204.3513675048822,-347.3073838938585,196.4627227783203,-358.26275634765625
193.6612258698886,-359.57226965360155,203.1300819456483,-346.42762050344817,195.23936462402344,-357.3815002441406
192.4370235296706,-358.6899867740146,201.90883901542716,-345.54746996528036,194.01565551757812,-356.49957275390625
191.2124892136627,-357.80695800014473,200.68788267467824,-344.66702057932633,192.79171752929688,-355.6169738769531
189.98796276169816,-356.9235124267716,199.46633769582266,-343.78572550232195,191.56768798828125,-354.73388671875
188.7632722383467,-356.03967175032994,198.2435989111844,-342.90329314584534,190.34332275390625,-353.85028076171875
187.53817802492102,-355.15538680585513,197.0195826763064,-342.01978622952953,189.118408203125,-352.96612548828125
186.3126202983593,-354.2706094069559,195.79513742516332,-341.13581189789824,187.89303588867188,-352.08148193359375
185.08649376873262,-353.38538978605345,194.5692332086152,-340.2507527762471,186.6669464111328,-351.1962890625
183.8597575128418,-352.4997899648342,193.34207464326892,-339.3648480729914,185.4401397705078,-350.3106384277344
182.63247292724412,-351.6138551590781,192.11436182800472,-338.4786041322529,184.21278381347656,-349.4246520996094
181.4047726716025,-350.72784723785287,190.88506525067996,-337.59144402848204,182.9848175048828,-348.5384521484375
180.1763301140479,-349.8411576053154,189.65764913475593,-336.70549522035594,181.7565460205078,-347.6518859863281
178.94780684074658,-348.9545985246447,188.42779845694534,-335.81797812132635,180.52780151367188,-346.7651672363281
177.71850997073932,-348.0672961533087,187.19980160904316,-334.93161400377767,179.29872131347656,-345.8780212402344
176.48894901799517,-347.17967923572763,185.9711110136006,-334.044625351058,178.06930541992188,-344.9905090332031
175.2588764801976,-346.2916012637519,184.7416824444244,-333.1570122824056,176.83934020996094,-344.1025085449219
174.02848786492154,-345.403298372619,183.51127078441928,-332.2686927536535,175.60894775390625,-343.2142028808594
172.79849298576508,-344.516180311612,182.27495366057065,-331.37701253952906,174.37789916992188,-342.3263244628906
171.5681537820859,-343.63042263439235,181.0333085863936,-330.4831080342708,173.1456756591797,-341.439208984375
170.336837396392,-342.7458273719068,179.78885898805737,-329.5890677216445,171.91217041015625,-340.55303955078125
169.1041295531443,-341.86201556680254,178.5727188708874,-328.6556018827446,170.6773681640625,-339.667724609375
167.869816559973,-340.9784945145119,177.32820628545696,-327.7647739989489,169.4413604736328,-338.7829895019531
166.02361320115713,-340.9494400995178,176.08422446300625,-326.8755216670015,168.20437622070312,-337.89874267578125
154.56053375524993,-354.390558627573,174.8400464488031,-325.9871972263821,166.96646118164062,-337.014892578125
153.5621501742881,-353.1871195401855,173.59607860363252,-325.0999033789511,165.7276611328125,-336.13128662109375
152.5651698680318,-351.9858474759594,172.3493891462712,-324.2118473353541,164.48789978027344,-335.2481689453125
161.7107240580043,-336.52424710958746,171.13332944702117,-323.28498498913524,163.24732971191406,-334.365234375
160.4705089567736,-335.6427173566544,169.88494928520842,-322.397647816878,162.0057830810547,-333.4827575683594
159.22953120728118,-334.7621395288615,168.6333719142424,-321.5095422826885,160.76307678222656,-332.6009521484375
157.9874939984936,-333.8824151602386,167.3799334587362,-320.6217351325459,159.51918029785156,-331.71990966796875
156.7732866074185,-332.96295166478234,166.15278177876027,-319.69311248374606,158.2740020751953,-330.83978271484375
155.52879055992182,-332.0850462383747,164.8959158738376,-318.80647233478135,157.02752685546875,-329.9604797363281
154.2832829587544,-331.208226210821,163.63758953691533,-317.92061882643594,155.77996826171875,-329.08221435546875
153.06546165826273,-330.2914612677715,162.40755726143144,-316.9952656069945,154.5314483642578,-328.2049865722656
151.8177625093829,-329.41625172592165,161.14957148233034,-316.11283447316936,153.28213500976562,-327.3286437988281
150.56926249956652,-328.5418041362992,159.9202941224329,-315.190800937861,152.0321502685547,-326.4531555175781
149.34856284781088,-327.6268706085982,158.6631355993347,-314.31137919770396,150.7815704345703,-325.5783386230469
148.0986337023239,-326.7534467382902,157.4064974085106,-313.43326467181373,149.53060913085938,-324.7041931152344
146.87712769368142,-325.8396702407611,156.1793781903822,-312.51556725023005,148.2796173095703,-323.830810546875
145.62725671637523,-324.9681073247238,154.92207302505895,-311.6388172238416,147.02862548828125,-322.9584655761719
144.40607168968157,-324.0564568882762,153.69467568428212,-310.72283666023014,145.77792358398438,-322.0871887207031
143.15665529759428,-323.18697051569313,152.43882821082008,-309.84887250423566,144.52755737304688,-321.217041015625
141.93634324676856,-322.2779201688414,151.21061419684233,-308.9343262508781,143.2775421142578,-320.3482360839844
140.687829891195,-321.41113160159466,149.98360643667314,-308.0215965714698,142.02801513671875,-319.4807434082031
139.4684820567711,-320.50447054639164,148.73034401174812,-307.15226019834597,140.77938842773438,-318.6146240234375
138.22194468752346,-319.64048502669306,147.5073382478173,-306.2437472107425,139.5321502685547,-317.7501525878906
137.00592216197958,-318.7374080513177,146.25852358341854,-305.37877852819236,138.28704833984375,-316.88775634765625
135.76416317909627,-317.87784384326255,145.04146656510406,-304.47550198315116,137.04476928710938,-316.02783203125
134.55463878629507,-316.980316750927,143.79958544134868,-303.61638825314003,135.80625915527344,-315.1710510253906
133.34917555397868,-316.0861268614714,142.5902552733104,-302.7195238181277,134.57183837890625,-314.317626953125
132.05460588666355,-315.1917636111922,141.31959858118242,-301.7809078828368,133.27667236328125,-313.4228515625
130.79289364980065,-314.2600668435223,140.0242845337955,-300.88677026441036,131.98587036132812,-312.5318298339844
129.53540170150052,-313.3319957997307,138.76177184323413,-299.9552345772846,130.6993408203125,-311.64447021484375
128.25370103433744,-312.4485903772634,137.50403588142373,-299.02761940799456,129.41708374023438,-310.76068115234375
127.00451010433729,-311.52710029604225,136.22480548868043,-298.1461510137835,128.13931274414062,-309.8802185058594
125.73128338378639,-310.64972219675525,134.98028302820265,-297.2278308991402,126.86612701416016,-309.00286865234375
