left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y
-709.7628952184066,-1.9518261134627504,-709.7295269042613,-15.38141684552728,-709.7575073242188,-4.120266914367676
-708.2174063591292,-1.9438096359972428,-708.180430451748,-15.37379718656701,-708.21142578125,-4.1160101890563965
-706.6680737447099,-1.9357116207759644,-706.6354128781626,-15.366217237850103,-706.6627807617188,-4.112244129180908
-705.1180819828958,-1.9277970142659777,-705.088143120449,-15.35839385220864,-705.1132202148438,-4.108789920806885
-703.5659418450625,-1.9193664950828646,-703.5455550843238,-15.350177686430152,-703.5626220703125,-4.106436252593994
-702.0146292049055,-1.9105904335041441,-701.9968089608226,-15.34280074054352,-702.01171875,-4.104378700256348
-700.4647574696913,-1.9021365280866598,-700.4496354735606,-15.335032975069755,-700.4622802734375,-4.102634429931641
-698.9170899760037,-1.893280910378388,-698.906840651635,-15.327275346900727,-698.9154052734375,-4.101454257965088
-697.3720801988391,-1.8861617095961134,-697.3620222301133,-15.319163515506727,-697.3704223632812,-4.100297451019287
-695.829873528016,-1.8774553482410394,-695.8255761655921,-15.310893915637811,-695.8291625976562,-4.099804401397705
-694.2909400095749,-1.8687958867348198,-694.2924977394408,-15.302524968173202,-694.2911987304688,-4.099982738494873
-692.7560840038918,-1.8596508332423962,-692.7620552810827,-15.294105854620426,-692.757080078125,-4.1006646156311035
-691.2243296545511,-1.8503242616847593,-691.2340118159215,-15.285716490600738,-691.2259521484375,-4.1017680168151855
-689.6957558725233,-1.8413030161176098,-689.7116088919125,-15.27634272003946,-689.6984252929688,-4.103570461273193
-688.1724399630999,-1.832059365395704,-688.1918233371513,-15.267653293475831,-688.1757202148438,-4.105767250061035
-686.6522133251246,-1.8239041324159802,-686.6720078528907,-15.258930977879647,-686.6555786132812,-4.108006954193115
-685.1346225909433,-1.8143130837604735,-685.1643769281345,-15.250289783366915,-685.1397094726562,-4.111363887786865
-683.6205185975954,-1.804521823510346,-683.6504891608828,-15.24162624206115,-683.6256713867188,-4.11474084854126
-682.1088081191197,-1.7947317143965922,-682.1406789082059,-15.233020041798957,-682.1143188476562,-4.118325233459473
-680.5989354263559,-1.7849437793296317,-680.6326436945949,-15.224506742968297,-680.6047973632812,-4.1221113204956055
-679.0918692965897,-1.7755231332829697,-679.1270506529539,-15.214937362489795,-679.0980224609375,-4.126055717468262
-677.5876597660805,-1.7656366276572717,-677.6271302347131,-15.206211492135553,-677.5946044921875,-4.1304707527160645
-676.0866436431091,-1.7558763083976014,-676.1292026906848,-15.197341782527872,-676.0941772460938,-4.135221481323242
-674.5204432976684,-1.7464793883360907,-674.5715094529502,-15.18802872278627,-674.529541015625,-4.141165733337402
-672.9595029335633,-1.7360662130455466,-673.0100405568948,-15.178819421615879,-672.9685668945312,-4.147034168243408
-671.4002069990332,-1.7256346850009603,-671.4549639925636,-15.169529615850493,-671.4100952148438,-4.153381824493408
-669.843720370066,-1.7153934407962144,-669.9052990230754,-15.159969827937406,-669.8549194335938,-4.1605048179626465
-668.2901896159723,-1.7047375441588066,-668.3556661653495,-15.150698146286311,-668.3021850585938,-4.168066024780273
-666.7392171806498,-1.6942780058865208,-666.8045977219291,-15.141154374937726,-666.7512817382812,-4.175606727600098
-665.1904615449151,-1.6836656029964185,-665.2559655749695,-15.131220633652045,-665.20263671875,-4.183150291442871
-663.6440482788431,-1.67303418751745,-663.7040254148114,-15.12170506487435,-663.6552734375,-4.190051078796387
-662.0987282426919,-1.6621742832129387,-662.1568462594034,-15.112158915523349,-662.1096801757812,-4.19672966003418
-660.5549322702363,-1.6524855587539875,-660.6112510711367,-15.102473553645076,-660.5656127929688,-4.203195095062256
-659.0124551024785,-1.6414513242107192,-659.0667862100397,-15.09308186793602,-659.0228271484375,-4.209426403045654
-657.4717920871944,-1.6306966457920438,-657.5236237855376,-15.083428302354985,-657.4817504882812,-4.2153639793396
-655.9329040535403,-1.61961890482495,-655.9860224287817,-15.073816596548728,-655.9431762695312,-4.221438407897949
-654.3965404359782,-1.6087945197576943,-654.4495657455362,-15.064068093153685,-654.4068603515625,-4.227492809295654
-652.8619283606328,-1.5974549927697494,-652.9158813592403,-15.054514700955117,-652.8724975585938,-4.233644485473633
-651.3292115022663,-1.5864067815026663,-651.382519395216,-15.044060343343762,-651.3397216796875,-4.239716053009033
-649.7978979954277,-1.5750237175883588,-649.8545599142002,-15.034403569848108,-649.8091430664062,-4.246159553527832
-648.2679706637865,-1.5648393102485758,-648.3231650362997,-15.024565248396259,-648.2789916992188,-4.252434253692627
-646.7386969831889,-1.5535559917263426,-646.7952422212371,-15.014588828441159,-646.7500610351562,-4.258856773376465
-645.2097388214311,-1.5420705496531317,-645.2684632890405,-15.004665249145818,-645.2216186523438,-4.265523910522461
-643.6829391255011,-1.5307604693237922,-643.740413293809,-14.994532164193783,-643.6946411132812,-4.272042274475098
