pos_x,pos_y
233.3350067138672,-384.7093811035156
232.03623962402344,-383.77783203125
230.74404907226562,-382.85174560546875
229.46484375,-381.9351806640625
228.201904296875,-381.0304870605469
226.95533752441406,-380.1374206542969
225.72232055664062,-379.2539978027344
224.49900817871094,-378.37725830078125
223.2811737060547,-377.5040283203125
222.0654296875,-376.6321716308594
220.84962463378906,-375.760009765625
219.632568359375,-374.88690185546875
218.4139862060547,-374.0126037597656
217.1939239501953,-373.13739013671875
215.97268676757812,-372.26141357421875
214.75050354003906,-371.3849792480469
213.52757263183594,-370.5081787109375
212.3040008544922,-369.63116455078125
211.07997131347656,-368.7540283203125
209.85562133789062,-367.8768310546875
208.6313018798828,-366.9997253417969
207.40760803222656,-366.12310791015625
206.18556213378906,-365.2475891113281
204.9668731689453,-364.37420654296875
203.75411987304688,-363.5047607421875
200.1292266845703,-360.901611328125
198.90762329101562,-360.0228576660156
197.6854248046875,-359.1431884765625
196.4627227783203,-358.26275634765625
195.23936462402344,-357.3815002441406
194.01565551757812,-356.49957275390625
192.79171752929688,-355.6169738769531
191.56768798828125,-354.73388671875
190.34332275390625,-353.85028076171875
189.118408203125,-352.96612548828125
187.89303588867188,-352.08148193359375
186.6669464111328,-351.1962890625
185.4401397705078,-350.3106384277344
184.21278381347656,-349.4246520996094
182.9848175048828,-348.5384521484375
181.7565460205078,-347.6518859863281
180.52780151367188,-346.7651672363281
179.29872131347656,-345.8780212402344
178.06930541992188,-344.9905090332031
176.83934020996094,-344.1025085449219
175.60894775390625,-343.2142028808594
174.37789916992188,-342.3263244628906
173.1456756591797,-341.439208984375
171.91217041015625,-340.55303955078125
170.6773681640625,-339.667724609375
169.4413604736328,-338.7829895019531
168.20437622070312,-337.89874267578125
166.96646118164062,-337.014892578125
165.7276611328125,-336.13128662109375
164.48789978027344,-335.2481689453125
163.24732971191406,-334.365234375
162.0057830810547,-333.4827575683594
160.76307678222656,-332.6009521484375
159.51918029785156,-331.71990966796875
158.2740020751953,-330.83978271484375
157.02752685546875,-329.9604797363281
155.77996826171875,-329.08221435546875
154.5314483642578,-328.2049865722656
153.28213500976562,-327.3286437988281
152.0321502685547,-326.4531555175781
150.7815704345703,-325.5783386230469
149.53060913085938,-324.7041931152344
148.2796173095703,-323.830810546875
147.02862548828125,-322.9584655761719
145.77792358398438,-322.0871887207031
144.52755737304688,-321.217041015625
143.2775421142578,-320.3482360839844
142.02801513671875,-319.4807434082031
140.77938842773438,-318.6146240234375
139.5321502685547,-317.7501525878906
138.28704833984375,-316.88775634765625
137.04476928710938,-316.02783203125
135.80625915527344,-315.1710510253906
134.57183837890625,-314.317626953125
133.27667236328125,-313.4228515625
131.98587036132812,-312.5318298339844
130.6993408203125,-311.64447021484375
129.41708374023438,-310.76068115234375
128.13931274414062,-309.8802185058594
126.86612701416016,-309.00286865234375
125.5977783203125,-308.1285400390625
124.33426666259766,-307.257080078125
123.07556915283203,-306.3884582519531
121.82164764404297,-305.52276611328125
120.57244110107422,-304.6598205566406
119.32813262939453,-303.7995300292969
118.08876037597656,-302.9416198730469
116.85453033447266,-302.0856628417969
115.56442260742188,-301.1888122558594
114.28036499023438,-300.2936096191406
113.0022964477539,-299.4001159667969
111.7298812866211,-298.5085754394531
110.46263885498047,-297.6197509765625
109.2003402709961,-296.73388671875
107.9429931640625,-295.85089111328125
106.69068145751953,-294.9705810546875
105.4435043334961,-294.09283447265625
104.20166778564453,-293.2170715332031
102.96539306640625,-292.3431396484375
101.73448181152344,-291.4709167480469
100.50752258300781,-290.5993347167969
99.28382110595703,-289.7277526855469
98.0049057006836,-288.8150939941406
96.72834014892578,-287.9028015136719
95.45390319824219,-286.9915771484375
94.18135833740234,-286.0820617675781
92.91061401367188,-285.174560546875
91.64178466796875,-284.26934814453125
90.37503814697266,-283.3665771484375
89.11041259765625,-282.4661865234375
87.8479232788086,-281.5680847167969
86.58724212646484,-280.672119140625
85.32832336425781,-279.77801513671875
84.07131958007812,-278.88604736328125
82.8160171508789,-277.99603271484375
81.56222534179688,-277.107666015625
80.30979919433594,-276.22039794921875
79.05854797363281,-275.333984375
77.80845642089844,-274.4482727050781
76.5595474243164,-273.5631103515625
75.3118667602539,-272.6782531738281
74.06563568115234,-271.7939147949219
72.82086181640625,-270.90948486328125
71.57781982421875,-270.02508544921875
70.33647155761719,-269.14019775390625
69.09735107421875,-268.2544250488281
67.8604965209961,-267.3673095703125
66.62593078613281,-266.47845458984375
65.3932876586914,-265.5874938964844
64.16239929199219,-264.69384765625
62.93342971801758,-263.7966003417969
61.706825256347656,-262.8948974609375
60.483177185058594,-261.98785400390625
59.263221740722656,-261.074462890625
58.04745864868164,-260.15399169921875
56.836326599121094,-259.2259216308594
55.63023376464844,-258.2899475097656
54.429115295410156,-257.3459167480469
53.233314514160156,-256.3932800292969
52.042945861816406,-255.43209838867188
50.85831832885742,-254.4619903564453
49.67966842651367,-253.48275756835938
