pos_x,pos_y
-763.6190795898438,-4.400510311126709
-762.0515747070312,-4.386641502380371
-760.4974975585938,-4.3730149269104
-758.9630737304688,-4.359740734100342
-757.4517211914062,-4.346892833709717
-755.9616088867188,-4.334500312805176
-754.489013671875,-4.3225626945495605
-753.0281372070312,-4.311060905456543
-751.5732421875,-4.299969673156738
-750.1199951171875,-4.2892680168151855
-748.6649169921875,-4.278937339782715
-747.2069702148438,-4.268965244293213
-745.7452392578125,-4.25934362411499
-744.27978515625,-4.250064849853516
-742.8108520507812,-4.241119384765625
-741.3385620117188,-4.232501029968262
-739.8628540039062,-4.224206924438477
-738.3843994140625,-4.216240882873535
-736.9027709960938,-4.208616733551025
-735.4185791015625,-4.201351642608643
-733.9320678710938,-4.194470405578613
-732.4439086914062,-4.187999248504639
-730.9551391601562,-4.181956768035889
-729.4676513671875,-4.176347255706787
-727.984130859375,-4.171154022216797
-723.5171508789062,-4.1573028564453125
-722.0025024414062,-4.152893543243408
-720.48486328125,-4.1486406326293945
-718.9634399414062,-4.144392967224121
-717.438232421875,-4.140140533447266
-715.9092407226562,-4.1359453201293945
-714.3766479492188,-4.132063865661621
-712.8406372070312,-4.128127574920654
-711.3006591796875,-4.124101161956787
-709.7575073242188,-4.120266914367676
-708.21142578125,-4.1160101890563965
-706.6627807617188,-4.112244129180908
-705.1132202148438,-4.108789920806885
-703.5626220703125,-4.106436252593994
-702.01171875,-4.104378700256348
-700.4622802734375,-4.102634429931641
-698.9154052734375,-4.101454257965088
-697.3704223632812,-4.100297451019287
-695.8291625976562,-4.099804401397705
-694.2911987304688,-4.099982738494873
-692.757080078125,-4.1006646156311035
-691.2259521484375,-4.1017680168151855
-689.6984252929688,-4.103570461273193
-688.1757202148438,-4.105767250061035
-686.6555786132812,-4.108006954193115
-685.1397094726562,-4.111363887786865
-683.6256713867188,-4.11474084854126
-682.1143188476562,-4.118325233459473
-680.6047973632812,-4.1221113204956055
-679.0980224609375,-4.126055717468262
-677.5946044921875,-4.1304707527160645
-676.0941772460938,-4.135221481323242
-674.529541015625,-4.141165733337402
-672.9685668945312,-4.147034168243408
-671.4100952148438,-4.153381824493408
-669.8549194335938,-4.1605048179626465
-668.3021850585938,-4.168066024780273
-666.7512817382812,-4.175606727600098
-665.20263671875,-4.183150291442871
-663.6552734375,-4.190051078796387
-662.1096801757812,-4.19672966003418
-660.5656127929688,-4.203195095062256
-659.0228271484375,-4.209426403045654
-657.4817504882812,-4.2153639793396
-655.9431762695312,-4.221438407897949
-654.4068603515625,-4.227492809295654
-652.8724975585938,-4.233644485473633
-651.3397216796875,-4.239716053009033
-649.8091430664062,-4.246159553527832
-648.2789916992188,-4.252434253692627
-646.7500610351562,-4.258856773376465
-645.2216186523438,-4.265523910522461
-643.6946411132812,-4.272042274475098
-642.168701171875,-4.27829647064209
-640.6426391601562,-4.283890247344971
-639.1177978515625,-4.288147449493408
-637.5925903320312,-4.2910475730896
-636.0673217773438,-4.2923455238342285
-634.542236328125,-4.292210102081299
-633.017578125,-4.290574550628662
-631.4930419921875,-4.287944793701172
-629.968505859375,-4.283647537231445
-628.4451293945312,-4.278748512268066
-626.9218139648438,-4.273309707641602
-625.3981323242188,-4.26751708984375
-623.8757934570312,-4.261201858520508
-622.352783203125,-4.254831790924072
-620.830322265625,-4.247920036315918
-619.3084106445312,-4.240843296051025
-617.7850952148438,-4.23329496383667
-616.2619018554688,-4.225067138671875
-614.7373657226562,-4.216330528259277
-613.2128295898438,-4.2075724601745605
-611.6878662109375,-4.19864559173584
-610.161376953125,-4.1889543533325195
-608.6341552734375,-4.1791815757751465
