left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y
-654.5706633575526,-273.5785987951391,-662.9254849599474,-260.9756909877529,-659.3174438476562,-266.41827392578125
-655.9195323252236,-274.42521905624096,-664.2723822296857,-261.81918075144904,-660.6430053710938,-267.2966003417969
-657.2694354728991,-275.27370880919256,-665.6225716223859,-262.6666875444053,-661.9716186523438,-268.1769104003906
-658.6247937223839,-276.1230927290437,-666.9760061768662,-263.513781878488,-663.3034057617188,-269.0589599609375
-659.981892498368,-276.97507744279744,-668.3320635580315,-264.3644855876739,-664.6383056640625,-269.94287109375
-661.3439738861281,-277.8277328972447,-669.6915304341541,-265.21565438603153,-665.9765014648438,-270.8285827636719
-662.7087094366317,-278.6833602925542,-671.0524897205462,-266.0699683660917,-667.3177490234375,-271.7158203125
-664.0773439996464,-279.5377423347647,-672.4180749223422,-266.92441286209214,-668.6619262695312,-272.60467529296875
-665.4473650487763,-280.39721387519955,-673.786154822856,-267.7823340689798,-670.0095825195312,-273.4955139160156
-666.8222969065588,-281.25630445178933,-675.1574673701379,-268.64081887513817,-671.3602905273438,-274.387939453125
-668.1977839321082,-282.11950309634005,-676.5311812186535,-269.50293472074446,-672.7139892578125,-275.2820739746094
-669.5780420645277,-282.98267330628664,-677.9090089614563,-270.36534449025044,-674.0709838867188,-276.1780700683594
-670.9600227272614,-283.8494794492947,-679.2882792587031,-271.23078880294054,-675.4307861328125,-277.0755310058594
-672.3451132878718,-284.7182343334055,-680.6713548832563,-272.09646488736246,-676.793701171875,-277.974609375
-673.7341368516674,-285.5861324093959,-682.0576140427187,-272.9661759665834,-678.1599731445312,-278.875732421875
-675.1242940627692,-286.4578673795504,-683.4481406681597,-273.8363627056023,-679.5291748046875,-279.7787170410156
-676.5194137154772,-287.3293407364108,-684.8396546982198,-274.7096115065556,-680.9011840820312,-280.68328857421875
-677.915715319243,-288.20542572666994,-686.235768107983,-275.5824769502181,-682.2763061523438,-281.58966064453125
-679.3163344995886,-289.08087737362365,-687.6340653935367,-276.4583657374118,-683.6543579101562,-282.49774169921875
-680.7183879096423,-289.9604745133314,-689.0356610841632,-277.33516017656234,-685.0353393554688,-283.4075012207031
-682.1254769370826,-290.8400536423714,-690.4391482762362,-278.2147856431304,-686.4195556640625,-284.3190002441406
-683.5331547039319,-291.7228789542919,-691.8464427361399,-279.0956835026969,-687.8064575195312,-285.2320861816406
-684.9444614556363,-292.60455292076887,-693.2559960332226,-279.98075656557836,-689.1961059570312,-286.14703369140625
-686.3579604802587,-293.4911818422438,-694.6695624733463,-280.86469586392894,-690.5888671875,-287.0638427734375
-687.7757221133922,-294.3763918898461,-696.0849616442897,-281.75226700066065,-691.9843139648438,-287.9823303222656
-689.1930125859599,-295.2671937382666,-697.5053889589245,-282.6400318044655,-693.3826293945312,-288.90283203125
-690.6145552555759,-296.15733004820964,-698.9273003869273,-283.53115532418224,-694.7835083007812,-289.82513427734375
-692.0369505204214,-297.0515207124838,-700.3533797208966,-284.42212646252676,-696.1869506835938,-290.7492980957031
-693.4644118923801,-297.9456505707946,-701.7821857447956,-285.314693031746,-697.5934448242188,-291.6755065917969
-694.89171695022,-298.8430566045122,-703.2136108131588,-286.2115079582381,-699.0023193359375,-292.60369873046875
-696.1653879871175,-299.63962320382797,-704.48886666438,-287.0079938183851,-700.2568969726562,-293.4303894042969
-697.4398230283867,-300.44203338378503,-705.7641231072348,-287.80694052832206,-701.5137329101562,-294.2584228515625
-698.7149530909693,-301.2450133828293,-707.0440530164112,-288.6065961702312,-702.7725830078125,-295.0880432128906
-699.991539445951,-302.04596693289784,-708.322406026766,-289.4077855334288,-704.0311889648438,-295.9176940917969
-701.2650881272432,-302.8469137350373,-709.6003250444141,-290.2060638473193,-705.2877807617188,-296.74627685546875
-702.5400072076313,-303.6451593019603,-710.8771889878735,-290.9988446886397,-706.542724609375,-297.5736083984375
-703.8116270752292,-304.44523028048803,-712.14640856387,-291.7989514368914,-707.7960815429688,-298.399658203125
-705.2411048554105,-305.34189436662473,-713.5690998900782,-292.7064667173918,-709.2047729492188,-299.328125
-706.5110602160884,-306.1407065283413,-714.8459713554489,-293.49665249025,-710.45751953125,-300.1539306640625
-707.7837222397872,-306.93884091185316,-716.1149810738376,-294.3009403614895,-711.7115478515625,-300.9806213378906
-709.0566377972076,-307.7399924916056,-717.4168793320507,-295.05765684321875,-712.9669189453125,-301.80816650390625
-710.3319247295465,-308.5408366028591,-718.7203434391665,-295.81594555401557,-714.2239379882812,-302.6368103027344
-711.6082580261204,-309.34387234471416,-720.0230994252581,-296.57829855735184,-715.4825439453125,-303.4664611816406
-712.886985152955,-310.14614188726136,-721.3301565751221,-297.3387217047088,-716.7427978515625,-304.2972717285156
-714.1672131918234,-310.9488530301203,-722.6155068987163,-298.1358606815249,-718.0044555664062,-305.129150390625
-715.448305320989,-311.75532507425004,-723.90273131733,-298.93212849637496,-719.267822265625,-305.96209716796875
-716.7330038419811,-312.56186522822827,-725.1852151078879,-299.73899340832145,-720.5333862304688,-306.7962951660156
-718.0183139255945,-313.37066321264035,-726.4657115028153,-300.55151585304924,-721.8004150390625,-307.6312255859375
-719.3068188658905,-314.1792536991708,-727.7537157881889,-301.3559563270601,-723.0694580078125,-308.4671630859375
-720.5972601029715,-314.9895083600356,-729.0437423495317,-302.1614981346195,-724.3406982421875,-309.30419921875
-721.8887584898897,-315.801621175359,-730.3347102211808,-302.9698277988339,-725.6138305664062,-310.1421813964844
-723.1837744599103,-316.61395609659104,-731.6270247783294,-303.777659658488,-726.8889770507812,-310.9809265136719
-724.479736195494,-317.428501269348,-732.9211846628148,-304.5877807050154,-728.1663208007812,-311.8206481933594
-725.7778958453385,-318.2417013502519,-734.2179662522805,-305.4010324480629,-729.4456787109375,-312.66156005859375
-727.075827284646,-319.05706492839386,-735.5157882185952,-306.21642678219274,-730.7262573242188,-313.5032653808594
-728.3762361023522,-319.87161298815033,-736.8159854129962,-307.03324550807514,-732.008544921875,-314.3462219238281
-729.6780584942048,-320.68887312328997,-738.1178258253628,-307.8529616294648,-733.2930908203125,-315.1908264160156
-730.9832485653345,-321.5063110084428,-739.4215925528623,-308.6718924560047,-734.5794677734375,-316.0365905761719
-732.2907676269717,-322.3268169643459,-740.7241984247745,-309.49211915994596,-735.8677368164062,-316.8830871582031
-733.6001710950934,-323.14617562841073,-742.0306680238627,-310.31265745444216,-737.1577758789062,-317.73052978515625
-734.9088373319282,-323.96744058361236,-743.3397318683174,-311.1369353749492,-738.4494018554688,-318.5792541503906
-736.2207418965623,-324.7883913855747,-744.6512966760021,-311.9609705867604,-739.7428588867188,-319.4293518066406
-737.5334941463063,-325.6126620915759,-745.9630783781433,-312.7872675694865,-741.0380249023438,-320.2806091308594
-738.8503568272494,-326.4372458177764,-747.2761622904864,-313.61160260574957,-742.3351440429688,-321.13275146484375
-740.1673827333509,-327.26427456425364,-748.5908389324541,-314.439120342734,-743.6341552734375,-321.9859313964844
